venda_id;produto_id;id_loja;quantidade;dia;mes
946;42;3;4;11;5
947;3;5;3;11;5
948;4;2;3;11;5
949;16;1;3;11;5
950;50;4;3;11;5
951;36;6;2;11;5
952;32;2;3;11;5
953;20;3;2;11;5
954;15;4;2;11;5
955;34;4;4;11;5
956;6;4;1;11;5
957;14;4;2;11;5
958;47;3;4;12;5
959;37;5;4;12;5
960;18;2;4;12;5
961;9;6;1;12;5
962;36;6;1;12;5
963;4;1;1;12;5
964;46;6;3;12;5
965;9;6;1;12;5
966;18;5;2;12;5
967;14;3;3;12;5
968;42;1;2;12;5
969;8;3;4;12;5
970;43;1;2;12;5
971;39;6;4;12;5
972;27;3;4;12;5
973;39;3;1;12;5
974;33;6;3;12;5
975;40;6;4;12;5
976;38;6;3;12;5
977;26;3;1;12;5
978;14;1;3;12;5
979;40;5;4;12;5
980;8;4;1;12;5
981;34;5;3;12;5
982;20;5;4;12;5
983;22;3;3;12;5
984;50;6;1;12;5
985;1;6;2;12;5
986;40;4;2;12;5
987;11;2;1;12;5
988;10;5;3;13;5
989;15;6;2;13;5
990;48;3;2;13;5
991;18;4;2;13;5
992;25;5;1;13;5
993;6;4;1;13;5
994;7;4;1;13;5
995;50;3;2;13;5
996;31;3;2;13;5
997;26;2;4;13;5
998;45;6;4;13;5
999;39;3;4;13;5
1000;9;1;2;13;5
1001;32;5;4;13;5
1002;38;1;3;13;5
1003;30;4;1;13;5
1004;20;5;1;13;5
1005;40;2;1;13;5
1006;15;2;4;13;5
1007;46;1;4;13;5
1008;18;2;2;13;5
1009;19;4;1;13;5
1010;44;5;4;13;5
1011;16;4;2;13;5
1012;41;2;4;14;5
1013;34;6;1;14;5
1014;50;5;2;14;5
1015;38;1;4;14;5
1016;17;5;4;14;5
1017;19;3;1;14;5
1018;33;4;3;14;5
1019;46;3;3;14;5
1020;27;4;3;14;5
1021;31;6;4;14;5
1022;35;3;2;14;5
1023;39;1;3;14;5
1024;9;2;2;14;5
1025;11;4;3;14;5
1026;31;4;2;14;5
1027;10;4;2;14;5
1028;44;6;4;14;5
1029;15;2;1;14;5
1030;40;1;4;14;5
1031;16;1;2;14;5
1032;38;1;4;14;5
1033;21;3;2;14;5
1034;9;3;1;14;5
1035;21;6;4;14;5
1036;50;5;1;15;5
1037;17;3;4;15;5
1038;12;5;4;15;5
1039;37;4;1;15;5
1040;18;2;2;15;5
1041;23;4;2;15;5
1042;31;3;1;15;5
1043;26;3;2;15;5
1044;32;2;2;15;5
1045;35;6;3;15;5
1046;31;6;2;15;5
1047;12;3;1;15;5
1048;21;6;2;15;5
1049;40;3;3;15;5
1050;37;1;1;15;5
1051;25;1;2;15;5
1052;9;2;1;15;5
1053;11;4;2;15;5
1054;10;1;3;15;5
1055;5;1;3;15;5
1056;31;1;2;15;5
1057;11;4;3;16;5
1058;40;6;1;16;5
1059;22;2;2;16;5
1060;10;4;2;16;5
1061;47;4;1;16;5
1062;29;6;2;16;5
1063;35;2;2;16;5
1064;4;3;3;16;5
1065;42;3;3;16;5
1066;12;5;2;16;5
1067;11;4;3;16;5
1068;4;6;2;16;5
1069;3;3;3;16;5
1070;17;3;1;16;5
1071;16;5;3;16;5
1072;8;6;1;16;5
1073;32;4;3;16;5
1074;44;5;3;16;5
1075;36;3;4;16;5
1076;20;6;2;16;5
1077;46;5;3;16;5
1078;42;4;2;16;5
1079;24;6;2;16;5
1080;39;6;3;16;5
1081;44;6;4;17;5
1082;32;3;3;17;5
1083;27;1;1;17;5
1084;3;2;1;17;5
1085;24;4;1;17;5
1086;48;4;4;17;5
1087;42;3;3;17;5
1088;46;5;3;17;5
1089;32;1;3;17;5
1090;28;4;2;17;5
1091;8;4;2;17;5
1092;1;2;1;17;5
1093;47;1;1;17;5
1094;37;3;2;17;5
1095;5;2;1;17;5
1096;34;6;1;17;5
1097;48;2;2;17;5
1098;26;3;2;17;5
1099;28;6;3;17;5
1100;36;5;2;17;5
1101;11;1;2;18;5
1102;14;6;2;18;5
1103;8;5;4;18;5
1104;44;5;3;18;5
1105;48;1;3;18;5
1106;40;4;1;18;5
1107;29;5;4;18;5
1108;50;1;4;18;5
1109;16;2;4;18;5
1110;42;6;2;18;5
1111;35;6;2;18;5
1112;19;5;4;18;5
1113;13;2;4;18;5
1114;40;1;2;18;5
1115;39;4;4;18;5
1116;36;1;2;18;5
1117;47;5;2;18;5
1118;39;2;2;18;5
1119;14;1;4;18;5
1120;22;5;2;19;5
1121;27;1;3;19;5
1122;33;5;4;19;5
1123;14;3;4;19;5
1124;10;2;3;19;5
1125;31;2;1;19;5
1126;19;2;2;19;5
1127;22;2;2;19;5
1128;46;6;1;19;5
1129;37;5;4;19;5
1130;5;5;4;19;5
1131;13;3;2;19;5
1132;9;2;1;19;5
1133;44;1;2;19;5
1134;24;1;3;19;5
1135;14;2;4;19;5
1136;40;6;4;19;5
1137;14;1;4;19;5
1138;18;4;2;19;5
1139;33;2;4;20;5
1140;26;1;1;20;5
1141;23;1;2;20;5
1142;5;4;2;20;5
1143;16;1;4;20;5
1144;42;5;2;20;5
1145;48;5;2;20;5
1146;38;2;4;20;5
1147;17;1;4;20;5
1148;6;3;3;20;5
1149;50;5;3;20;5
1150;18;3;3;20;5
1151;16;2;1;20;5
1152;32;3;1;20;5
1153;2;5;4;20;5
1154;11;1;2;20;5
1155;15;5;1;20;5
1156;19;5;2;20;5
1157;24;4;2;20;5
1158;38;6;4;20;5
1159;22;6;3;20;5
1160;18;5;3;20;5
1161;25;4;2;20;5
1162;22;5;2;20;5
1163;20;2;4;20;5
1164;30;5;1;20;5
1165;1;4;2;20;5
1166;48;1;2;21;5
1167;8;5;4;21;5
1168;22;3;1;21;5
1169;47;3;1;21;5
1170;10;4;3;21;5
1171;40;4;1;21;5
1172;47;2;4;21;5
1173;13;1;1;21;5
1174;12;4;4;21;5
1175;14;1;3;21;5
1176;20;4;2;21;5
1177;11;3;3;21;5
1178;42;5;1;21;5
1179;44;1;1;21;5
1180;44;5;1;21;5
1181;24;5;4;21;5
1182;34;3;4;21;5
1183;20;2;2;21;5
1184;3;5;1;21;5
1185;21;1;4;21;5
1186;44;6;2;21;5
1187;13;3;4;21;5
1188;50;2;1;21;5
1189;32;4;4;21;5
1190;19;1;1;22;5
1191;6;5;3;22;5
1192;22;5;1;22;5
1193;19;2;2;22;5
1194;32;5;3;22;5
1195;1;4;1;22;5
1196;15;2;3;22;5
1197;2;4;4;22;5
1198;15;2;3;22;5
1199;43;1;2;22;5
1200;28;3;2;22;5
1201;28;1;4;22;5
1202;34;5;4;22;5
1203;18;3;2;22;5
1204;13;5;3;22;5
1205;49;1;2;22;5
1206;47;4;4;22;5
1207;36;3;4;22;5
1208;40;5;4;22;5
1209;13;6;1;22;5
1210;20;5;2;22;5
1211;21;5;2;22;5
1212;17;1;4;23;5
1213;34;1;1;23;5
1214;1;5;3;23;5
1215;36;4;2;23;5
1216;29;1;3;23;5
1217;10;1;1;23;5
1218;42;6;1;23;5
1219;42;2;1;23;5
1220;29;4;1;23;5
1221;9;1;2;23;5
1222;45;6;1;23;5
1223;30;5;1;23;5
1224;38;6;1;23;5
1225;41;5;1;23;5
1226;33;6;3;23;5
1227;45;5;2;23;5
1228;29;5;4;23;5
1229;48;4;1;23;5
1230;14;6;3;23;5
1231;24;4;1;23;5
1232;21;6;4;23;5
1233;44;4;4;23;5
1234;3;6;3;23;5
1235;8;2;1;24;5
1236;22;5;1;24;5
1237;13;1;1;24;5
1238;4;6;2;24;5
1239;2;6;2;24;5
1240;8;5;2;24;5
1241;26;1;1;24;5
1242;18;6;4;24;5
1243;15;4;3;24;5
1244;13;1;4;24;5
1245;28;1;4;24;5
1246;36;6;2;24;5
1247;10;3;1;24;5
1248;2;5;4;24;5
1249;22;6;3;24;5
1250;48;4;4;24;5
1251;6;2;2;24;5
1252;30;5;3;24;5
1253;32;2;2;24;5
1254;43;6;3;24;5
1255;21;6;3;24;5
1256;45;4;3;24;5
1257;19;3;4;24;5
1258;33;5;1;24;5
1259;7;6;1;24;5
1260;32;2;4;24;5
1261;38;4;3;24;5
1262;34;1;3;24;5
1263;48;2;2;24;5
1264;22;2;4;24;5
1265;50;5;2;25;5
1266;44;2;3;25;5
1267;17;3;3;25;5
1268;39;1;3;25;5
1269;22;1;1;25;5
1270;49;2;1;25;5
1271;17;3;2;25;5
1272;17;6;2;25;5
1273;19;6;1;25;5
1274;42;4;1;25;5
1275;48;1;1;25;5
1276;25;3;3;25;5
1277;34;1;3;25;5
1278;45;1;1;25;5
1279;48;6;2;25;5
1280;6;1;2;25;5
1281;35;3;1;25;5
1282;50;1;2;25;5
1283;48;1;2;25;5
1284;16;3;1;25;5
1285;24;2;4;25;5
1286;6;5;4;25;5
1287;26;5;3;25;5
1288;38;1;2;25;5
1289;28;5;3;25;5
1290;50;4;1;25;5
1291;4;3;2;25;5
1292;18;6;1;25;5
1293;13;4;1;26;5
1294;13;4;1;26;5
1295;37;4;4;26;5
1296;7;1;4;26;5
1297;36;6;2;26;5
1298;10;3;1;26;5
1299;21;5;1;26;5
1300;4;5;1;26;5
1301;12;6;3;26;5
1302;27;1;1;26;5
1303;5;6;1;26;5
1304;50;3;2;26;5
1305;14;4;4;26;5
1306;27;3;1;26;5
1307;49;3;3;26;5
1308;1;1;3;26;5
1309;25;6;3;26;5
1310;34;4;1;26;5
1311;38;2;2;26;5
1312;11;5;2;26;5
1313;23;3;1;26;5
1314;6;5;3;27;5
1315;20;6;4;27;5
1316;18;3;1;27;5
1317;5;5;2;27;5
1318;36;5;2;27;5
1319;29;6;4;27;5
1320;50;2;3;27;5
1321;33;2;1;27;5
1322;7;6;1;27;5
1323;8;2;1;27;5
1324;35;3;1;27;5
1325;7;1;4;27;5
1326;27;1;1;27;5
